0x00, 0x10, 0xc8, 0x36, 0x36, 0xc8, 0x10, 0x00, 
0x18, 0xcb, 0x6e, 0x3c, 0x3c, 0x6e, 0xcb, 0x18, 
0x86, 0x59, 0xf4, 0x2c, 0x2c, 0xf4, 0x59, 0x86, 
0x00, 0x00, 0xa0, 0x68, 0xa0, 0x00, 0x00, 0x00, 
0x06, 0xfd, 0x74, 0x2c, 0x2c, 0x74, 0xfd, 0x06, 
0x00, 0x00, 0x94, 0x7a, 0xd4, 0x00, 0x00, 0x00, 
0x00, 0x08, 0xc8, 0x3b, 0x3b, 0xc8, 0x10, 0x00, 
0x00, 0x80, 0xe0, 0xb0, 0xf0, 0xb0, 0xe0, 0x80, 
0x8c, 0xde, 0x77, 0xff, 0xff, 0x77, 0xde, 0x8c, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 
0x42, 0xdb, 0x3c, 0x74, 0x9c, 0x74, 0xdb, 0x42, 
